soundlevel,date
80.00007629,00:00.1
27.80916959,00:00.1
86.74366164,00:00.2
62.67675655,00:00.4
61.88338936,00:00.5
65.91803161,00:00.5
61.88338936,00:00.7
50.77366903,00:00.8
53.59380111,00:00.9
55.0422049,00:01.0
49.40148296,00:01.0
46.73172639,00:01.2
52.17103212,00:01.3
48.05424505,00:01.4
51.46918914,00:01.5
51.46918914,00:01.6
53.59380111,00:01.7
55.77609136,00:01.8
58.77686861,00:01.9
55.77609136,00:02.0
58.77686861,00:02.1
55.0422049,00:02.2
55.77609136,00:02.3
55.0422049,00:02.4
58.77686861,00:02.5
52.17103212,00:02.6
58.01683237,00:02.7
59.54351382,00:02.8
55.0422049,00:02.9
52.87922657,00:03.0
52.87922657,00:03.1
55.77609136,00:03.2
55.0422049,00:03.3
55.77609136,00:03.4
55.77609136,00:03.5
56.51647236,00:03.6
56.51647236,00:03.7
58.01683237,00:03.8
63.47687576,00:03.9
56.51647236,00:04.0
52.87922657,00:04.1
53.59380111,00:04.2
55.77609136,00:04.3
55.77609136,00:04.4
55.0422049,00:04.5
55.77609136,00:04.6
55.77609136,00:04.7
57.26337649,00:04.8
55.77609136,00:04.9
55.0422049,00:05.0
55.77609136,00:05.1
55.77609136,00:05.2
56.51647236,00:05.3
57.26337649,00:05.4
55.77609136,00:05.5
55.77609136,00:05.6
55.77609136,00:05.7
55.0422049,00:05.8
55.0422049,00:05.9
56.51647236,00:06.0
55.0422049,00:06.1
55.77609136,00:06.2
55.77609136,00:06.3
55.77609136,00:06.4
55.77609136,00:06.5
55.77609136,00:06.6
56.51647236,00:06.7
57.26337649,00:06.8
55.77609136,00:06.9
55.77609136,00:07.0
56.51647236,00:07.1
57.26337649,00:07.2
57.26337649,00:07.3
56.51647236,00:07.4
56.51647236,00:07.5
55.77609136,00:07.6
56.51647236,00:07.7
57.26337649,00:07.8
56.51647236,00:07.9
56.51647236,00:08.0
56.51647236,00:08.1
56.51647236,00:08.2
56.51647236,00:08.3
55.77609136,00:08.4
55.77609136,00:08.5
55.0422049,00:08.7
55.77609136,00:08.7
57.26337649,00:08.8
56.51647236,00:08.9
57.26337649,00:09.1
58.77686861,00:09.2
56.51647236,00:09.3
59.54351382,00:09.3
58.01683237,00:09.4
62.67675655,00:09.5
55.77609136,00:09.7
54.31478435,00:09.8
52.17103212,00:09.8
50.77366903,00:09.9
53.59380111,00:10.1
52.87922657,00:10.2
54.31478435,00:10.2
53.59380111,00:10.3
54.31478435,00:10.5
55.0422049,00:10.6
55.77609136,00:10.7
55.77609136,00:10.7
55.77609136,00:10.9
55.77609136,00:11.0
55.77609136,00:11.1
55.77609136,00:11.1
55.77609136,00:11.3
55.77609136,00:11.4
55.0422049,00:11.5
56.51647236,00:11.6
55.77609136,00:11.7
58.01683237,00:11.8
55.77609136,00:11.9
56.51647236,00:12.0
60.3167966,00:12.1
55.77609136,00:12.2
53.59380111,00:12.3
53.59380111,00:12.4
56.51647236,00:12.5
68.42098562,00:12.6
79.06623274,00:12.7
72.73200296,00:12.8
57.26337649,00:12.9
50.77366903,00:13.0
44.15993134,00:13.1
48.05424505,00:13.2
53.59380111,00:13.3
56.51647236,00:13.4
57.26337649,00:13.5
61.09674558,00:13.6
62.67675655,00:13.7
76.30836135,00:13.8
76.30836135,00:13.9
69.26917006,00:14.0
49.40148296,00:14.1
50.08444317,00:14.2
47.38991012,00:14.3
