date,uv
00:00.1,0.73
00:00.1,0.73
00:00.2,0.73
00:00.4,0.73
00:00.5,0.73
00:00.5,0.73
00:00.7,0.73
00:00.8,0.73
00:00.9,0.73
00:01.0,0.73
00:01.0,0.73
00:01.2,0.73
00:01.3,0.73
00:01.4,0.73
00:01.5,0.73
00:01.6,0.73
00:01.7,0.73
00:01.8,0.73
00:01.9,0.73
00:02.0,0.73
00:02.1,0.73
00:02.2,0.73
00:02.3,0.73
00:02.4,0.73
00:02.5,0.73
00:02.6,0.73
00:02.7,0.73
00:02.8,0.73
00:02.9,0.73
00:03.0,0.73
00:03.1,0.73
00:03.2,0.73
00:03.3,0.73
00:03.4,0.73
00:03.5,0.73
00:03.6,0.73
00:03.7,0.73
00:03.8,0.73
00:03.9,0.73
00:04.0,0.73
00:04.1,0.73
00:04.2,0.73
00:04.3,0.73
00:04.4,0.73
00:04.5,0.73
00:04.6,0.73
00:04.7,0.73
00:04.8,0.73
00:04.9,0.73
00:05.0,0.73
00:05.1,0.73
00:05.2,0.73
00:05.3,0.73
00:05.4,0.73
00:05.5,0.73
00:05.6,0.73
00:05.7,0.73
00:05.8,0.73
00:05.9,0.73
00:06.0,0.73
00:06.1,0.73
00:06.2,0.73
00:06.3,0.73
00:06.4,0.73
00:06.5,0.73
00:06.6,0.73
00:06.7,0.73
00:06.8,0.73
00:06.9,0.73
00:07.0,0.73
00:07.1,0.73
00:07.2,0.73
00:07.3,0.73
00:07.4,0.73
00:07.5,0.73
00:07.6,0.73
00:07.7,0.73
00:07.8,0.73
00:07.9,0.73
00:08.0,0.73
00:08.1,0.73
00:08.2,0.73
00:08.3,0.73
00:08.4,0.73
00:08.5,0.73
00:08.7,0.73
00:08.7,0.73
00:08.8,0.73
00:08.9,0.73
00:09.1,0.73
00:09.2,0.73
00:09.3,0.73
00:09.3,0.73
00:09.4,0.73
00:09.5,0.73
00:09.7,0.73
00:09.8,0.73
00:09.8,0.73
00:09.9,0.73
00:10.1,0.73
00:10.2,0.73
00:10.2,0.73
00:10.3,0.73
00:10.5,0.73
00:10.6,0.73
00:10.7,0.73
00:10.7,0.73
00:10.9,0.73
00:11.0,0.73
00:11.1,0.73
00:11.1,0.73
00:11.3,0.73
00:11.4,0.73
00:11.5,0.73
00:11.6,0.73
00:11.7,0.73
00:11.8,0.73
00:11.9,0.73
00:12.0,0.73
00:12.1,0.73
00:12.2,0.73
00:12.3,0.73
00:12.4,0.73
00:12.5,0.73
00:12.6,0.73
00:12.7,0.73
00:12.8,0.73
00:12.9,0.73
00:13.0,0.73
00:13.1,0.73
00:13.2,0.73
00:13.3,0.73
00:13.4,0.73
00:13.5,0.73
00:13.6,0.73
00:13.7,0.73
00:13.8,0.73
00:13.9,0.73
00:14.0,0.73
00:14.1,0.73
00:14.2,0.73
00:14.3,0.73
00:14.4,0.73
00:14.5,0.73
00:14.6,0.73
00:14.7,0.73
00:14.8,0.73
00:14.9,0.73
00:15.0,0.73
00:15.1,0.73
00:15.2,0.73
00:15.3,0.73
00:15.4,0.73
00:15.5,0.73
00:15.6,0.73
00:15.7,0.73
00:15.8,0.73
00:15.9,0.73
00:16.0,0.73
00:16.1,0.73
00:16.2,0.73
00:16.3,0.73
00:16.4,0.73
00:16.5,0.73
00:16.6,0.73
00:16.7,0.73
00:16.8,0.73
00:16.9,0.73
00:17.0,0.73
00:17.1,0.73
00:17.2,0.73
00:17.3,0.73
00:17.4,0.73
00:17.5,0.73
00:17.6,0.73
00:17.7,0.73
00:17.8,0.73
00:17.9,0.73
00:18.0,0.73
00:18.1,0.73
00:18.3,0.73
00:18.4,0.73
00:18.4,0.73
00:18.5,0.73
00:18.7,0.73
00:18.7,0.73
00:18.8,0.73
00:18.9,0.73
00:19.1,0.73
00:19.2,0.73
00:19.3,0.73
00:19.3,0.73
00:19.4,0.73
00:19.5,0.73
00:19.6,0.73
00:19.8,0.73
00:19.9,0.73
00:19.9,0.73
00:20.1,0.73
00:20.2,0.73
00:20.3,0.73
00:20.4,0.73
00:20.5,0.73
00:20.6,0.73
00:20.7,0.73
00:20.8,0.73
00:20.9,0.73
00:21.0,0.73
00:21.1,0.73
00:21.2,0.68
00:21.3,0.73
00:21.4,0.73
00:21.5,0.73
00:21.6,0.73
00:21.7,0.73
00:21.8,0.68
00:21.9,0.73
00:22.0,0.73
00:22.1,0.73
00:22.2,0.73
00:22.3,0.73
00:22.4,0.73
00:22.5,0.73
00:22.6,0.73
00:22.7,0.68
00:22.8,0.73
00:22.9,0.68
00:23.0,0.73
00:23.1,0.73
00:23.2,0.73
00:23.3,0.73
00:23.4,0.73
00:23.5,0.73
00:23.6,0.73
00:23.7,0.68
00:23.8,0.68
00:23.9,0.73
00:24.0,0.68
00:24.1,0.73
00:24.2,0.73
00:24.3,0.73
00:24.4,0.68
00:24.5,0.68
00:24.6,0.68
00:24.7,0.68
00:24.8,0.73
00:24.9,0.73
00:25.0,0.73
00:25.1,0.73
00:25.2,0.68
00:25.3,0.73
00:25.4,0.68
00:25.5,0.73
00:25.6,0.73
00:25.7,0.68
00:25.8,0.73
00:25.9,0.73
00:26.0,0.73
00:26.1,0.73
00:26.2,0.68
00:26.3,0.68
00:26.4,0.73
00:26.5,0.68
00:26.6,0.68
00:26.7,0.68
00:26.8,0.73
00:27.0,0.73
00:27.0,0.73
00:27.1,0.68
00:27.3,0.73
00:27.3,0.68
00:27.4,0.68
00:27.6,0.73
00:27.6,0.68
00:27.7,0.73
00:27.8,0.68
00:28.0,0.68
00:28.0,0.73
00:28.1,0.68
00:28.2,0.73
00:28.4,0.73
00:28.5,0.68
00:28.6,0.68
00:28.7,0.68
00:28.8,0.73
00:28.9,0.73
00:29.0,0.68
00:29.1,0.73
00:29.1,0.68
00:29.3,0.68
00:29.4,0.68
00:29.5,0.73
00:29.6,0.68
00:29.7,0.68
00:29.8,0.73
00:29.9,0.68
00:30.0,0.73
00:30.1,0.68
00:30.2,0.73
00:30.3,0.68
00:30.4,0.73
00:30.5,0.73
00:30.6,0.73
00:30.7,0.68
00:30.8,0.68
00:30.9,0.68
00:31.0,0.73
00:31.1,0.68
00:31.2,0.68
00:31.3,0.68
00:31.4,0.73
00:31.5,0.68
00:31.6,0.68
00:31.7,0.73
00:31.8,0.68
00:31.9,0.68
00:32.0,0.68
00:32.1,0.68
00:32.2,0.68
00:32.3,0.68
00:32.4,0.68
00:32.5,0.68
00:32.6,0.68
00:32.7,0.68
00:32.8,0.68
00:32.9,0.68
00:33.0,0.68
00:33.1,0.68
00:33.2,0.68
00:33.3,0.68
00:33.4,0.68
00:33.5,0.68
00:33.6,0.68
00:33.7,0.73
00:33.8,0.68
00:33.9,0.68
00:34.0,0.68
00:34.1,0.68
00:34.2,0.68
00:34.3,0.68
00:34.4,0.68
00:34.5,0.68
00:34.6,0.68
00:34.7,0.68
00:34.8,0.68
00:34.9,0.68
00:35.0,0.68
00:35.1,0.68
00:35.2,0.68
00:35.3,0.68
00:35.4,0.68
00:35.5,0.68
00:35.6,0.68
00:35.7,0.68
00:35.8,0.68
00:35.9,0.73
00:36.0,0.68
00:36.1,0.68
00:36.2,0.68
00:36.4,0.68
00:36.4,0.68
00:36.5,0.68
00:36.6,0.68
00:36.7,0.68
00:36.9,0.68
00:37.0,0.68
00:37.1,0.68
00:37.1,0.68
00:37.2,0.68
00:37.4,0.73
00:37.5,0.68
00:37.6,0.68
00:37.6,0.68
00:37.8,0.68
00:37.9,0.68
00:38.0,0.68
00:38.0,0.68
00:38.2,0.68
00:38.3,0.68
00:38.4,0.68
00:38.4,0.68
00:38.6,0.68
00:38.7,0.68
00:38.8,0.68
00:38.9,0.68
00:39.0,0.68
00:39.1,0.68
00:39.2,0.68
00:39.3,0.68
00:39.4,0.68
00:39.5,0.68
00:39.6,0.68
00:39.7,0.68
00:39.8,0.68
00:39.9,0.68
00:40.0,0.68
00:40.1,0.68
00:40.2,0.68
00:40.3,0.68
00:40.4,0.68
00:40.5,0.68
00:40.6,0.68
00:40.7,0.68
00:40.8,0.68
00:40.9,0.68
00:41.0,0.68
00:41.1,0.68
00:41.2,0.68
00:41.3,0.68
00:41.4,0.68
00:41.5,0.68
00:41.6,0.68
00:41.7,0.68
00:41.8,0.68
00:41.9,0.68
00:42.0,0.68
00:42.1,0.68
00:42.2,0.68
00:42.3,0.68
00:42.4,0.68
00:42.5,0.68
00:42.6,0.68
00:42.7,0.68
00:42.8,0.68
00:42.9,0.68
00:43.0,0.68
00:43.1,0.68
00:43.2,0.68
00:43.3,0.68
00:43.4,0.68
00:43.5,0.68
00:43.6,0.68
00:43.7,0.68
00:43.8,0.68
00:43.9,0.68
00:44.0,0.68
00:44.1,0.68
00:44.2,0.68
00:44.3,0.68
00:44.4,0.68
00:44.5,0.68
00:44.6,0.68
00:44.7,0.68
00:44.8,0.68
00:44.9,0.68
00:45.0,0.68
00:45.1,0.68
00:45.2,0.68
00:45.3,0.68
00:45.4,0.68
00:45.5,0.68
00:45.6,0.68
00:45.8,0.68
00:45.9,0.68
00:45.9,0.68
00:46.0,0.68
00:46.1,0.68
00:46.3,0.68
00:46.4,0.68
00:46.4,0.68
00:46.5,0.68
00:46.7,0.68
00:46.8,0.68
00:46.8,0.68
00:46.9,0.68
00:47.1,0.68
00:47.2,0.68
00:47.2,0.68
00:47.4,0.68
00:47.5,0.68
00:47.6,0.68
00:47.6,0.68
00:47.8,0.68
00:47.9,0.68
00:48.0,0.68
00:48.0,0.68
00:48.2,0.68
00:48.3,0.68
00:48.4,0.68
00:48.5,0.68
00:48.6,0.68
00:48.7,0.68
00:48.8,0.68
00:48.9,0.68
00:49.0,0.68
00:49.1,0.68
00:49.2,0.68
00:49.3,0.68
00:49.4,0.68
00:49.5,0.68
00:49.6,0.68
00:49.7,0.68
00:49.8,0.68
00:49.9,0.68
00:50.0,0.68
00:50.1,0.68
00:50.2,0.68
00:50.3,0.68
00:50.4,0.68
00:50.5,0.68
00:50.6,0.68
00:50.7,0.68
00:50.8,0.68
00:50.9,0.68
00:51.0,0.68
00:51.1,0.68
00:51.2,0.68
00:51.3,0.68
00:51.4,0.68
00:51.5,0.68
00:51.6,0.68
00:51.7,0.68
00:51.8,0.68
00:51.9,0.68
00:52.0,0.68
00:52.1,0.68
00:52.2,0.68
00:52.3,0.68
00:52.4,0.68
00:52.5,0.68
00:52.6,0.68
00:52.7,0.68
00:52.8,0.68
00:52.9,0.68
00:53.0,0.68
00:53.1,0.68
00:53.2,0.68
00:53.3,0.68
00:53.4,0.68
00:53.5,0.68
00:53.6,0.68
00:53.7,0.68
00:53.8,0.68
00:53.9,0.68
00:54.0,0.68
00:54.1,0.68
00:54.2,0.68
00:54.3,0.68
00:54.4,0.68
00:54.5,0.68
00:54.6,0.68
00:54.7,0.68
00:54.8,0.68
00:55.0,0.68
00:55.0,0.68
00:55.1,0.68
00:55.2,0.68
00:55.4,0.68
00:55.4,0.68
00:55.5,0.68
00:55.6,0.68
00:55.8,0.68
00:55.9,0.68
00:56.0,0.68
00:56.0,0.68
00:56.2,0.68
00:56.3,0.68
00:56.4,0.68
00:56.4,0.68
00:56.6,0.68
00:56.7,0.68
00:56.7,0.68
00:56.9,0.68
00:57.0,0.68
00:57.1,0.68
00:57.1,0.68
00:57.2,0.68
00:57.4,0.68
00:57.5,0.68
00:57.6,0.68
00:57.7,0.68
00:57.8,0.68
00:57.9,0.68
00:58.0,0.68
00:58.1,0.68
00:58.2,0.68
00:58.3,0.68
00:58.4,0.68
00:58.5,0.68
00:58.6,0.68
00:58.7,0.68
00:58.8,0.68
00:58.9,0.68
00:59.0,0.68
00:59.1,0.68
00:59.2,0.68
00:59.3,0.68
00:59.4,0.68
00:59.5,0.68
00:59.6,0.68
00:59.7,0.68
00:59.8,0.68
00:59.9,0.68
01:00.0,0.68
01:00.1,0.68
01:00.2,0.68
01:00.3,0.68
01:00.4,0.68
01:00.5,0.68
01:00.6,0.68
01:00.7,0.68
01:00.8,0.68
01:00.9,0.68
01:01.0,0.68
01:01.1,0.68
01:01.2,0.68
01:01.3,0.68
01:01.4,0.68
01:01.5,0.68
01:01.6,0.68
01:01.7,0.68
01:01.8,0.68
01:01.9,0.68
01:02.0,0.68
01:02.1,0.68
01:02.2,0.68
01:02.3,0.68
01:02.4,0.68
01:02.5,0.68
01:02.6,0.68
01:02.7,0.68
01:02.8,0.68
01:02.9,0.68
01:03.0,0.68
01:03.1,0.68
01:03.2,0.68
01:03.3,0.68
01:03.4,0.68
01:03.5,0.68
01:03.6,0.68
01:03.7,0.68
01:03.8,0.68
01:03.9,0.68
01:04.1,0.68
01:04.1,0.68
01:04.2,0.68
01:04.3,0.68
01:04.4,0.68
01:04.5,0.68
01:04.6,0.68
01:04.7,0.68
01:04.9,0.68
01:05.0,0.68
